message,timestamp,severity,tags,attributes
"Unpacking librtmp1:amd64 (2.4+20151223.gitfa8646d.1-2+b2) ...
",2026-04-13T06:32:14.950923104Z,info,"{""serviceId"":""319ea0e2-e538-4575-8e20-90d75e4c9bb0"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""stream"":1,""timestamp"":""2026-04-13T06:32:14.950923104Z"",""type"":""log"",""vertex"":""sha256:d4f8bcef45c677fc231a062557c4927df7827b7feb6ca4d03dc3b38c13ebace8""}"
"Selecting previously unselected package libssh2-1:amd64.
",2026-04-13T06:32:15.000359225Z,info,"{""serviceId"":""319ea0e2-e538-4575-8e20-90d75e4c9bb0"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""stream"":1,""timestamp"":""2026-04-13T06:32:15.000359225Z"",""type"":""log"",""vertex"":""sha256:d4f8bcef45c677fc231a062557c4927df7827b7feb6ca4d03dc3b38c13ebace8""}"
"Preparing to unpack .../16-libssh2-1_1.10.0-3+b1_amd64.deb ...
",2026-04-13T06:32:15.001913198Z,info,"{""serviceId"":""319ea0e2-e538-4575-8e20-90d75e4c9bb0"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""stream"":1,""timestamp"":""2026-04-13T06:32:15.001913198Z"",""type"":""log"",""vertex"":""sha256:d4f8bcef45c677fc231a062557c4927df7827b7feb6ca4d03dc3b38c13ebace8""}"
"Unpacking libssh2-1:amd64 (1.10.0-3+b1) ...
",2026-04-13T06:32:15.004541421Z,info,"{""serviceId"":""319ea0e2-e538-4575-8e20-90d75e4c9bb0"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""stream"":1,""timestamp"":""2026-04-13T06:32:15.004541421Z"",""type"":""log"",""vertex"":""sha256:d4f8bcef45c677fc231a062557c4927df7827b7feb6ca4d03dc3b38c13ebace8""}"
"Selecting previously unselected package libcurl4:amd64.
",2026-04-13T06:32:15.154072588Z,info,"{""serviceId"":""319ea0e2-e538-4575-8e20-90d75e4c9bb0"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""stream"":1,""timestamp"":""2026-04-13T06:32:15.154072588Z"",""type"":""log"",""vertex"":""sha256:d4f8bcef45c677fc231a062557c4927df7827b7feb6ca4d03dc3b38c13ebace8""}"
"Preparing to unpack .../17-libcurl4_7.88.1-10+deb12u14_amd64.deb ...
",2026-04-13T06:32:15.155978751Z,info,"{""serviceId"":""319ea0e2-e538-4575-8e20-90d75e4c9bb0"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""stream"":1,""timestamp"":""2026-04-13T06:32:15.155978751Z"",""type"":""log"",""vertex"":""sha256:d4f8bcef45c677fc231a062557c4927df7827b7feb6ca4d03dc3b38c13ebace8""}"
"Unpacking libcurl4:amd64 (7.88.1-10+deb12u14) ...
",2026-04-13T06:32:15.166017529Z,info,"{""serviceId"":""319ea0e2-e538-4575-8e20-90d75e4c9bb0"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""stream"":1,""timestamp"":""2026-04-13T06:32:15.166017529Z"",""type"":""log"",""vertex"":""sha256:d4f8bcef45c677fc231a062557c4927df7827b7feb6ca4d03dc3b38c13ebace8""}"
"Selecting previously unselected package curl.
",2026-04-13T06:32:15.225530166Z,info,"{""serviceId"":""319ea0e2-e538-4575-8e20-90d75e4c9bb0"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""stream"":1,""timestamp"":""2026-04-13T06:32:15.225530166Z"",""type"":""log"",""vertex"":""sha256:d4f8bcef45c677fc231a062557c4927df7827b7feb6ca4d03dc3b38c13ebace8""}"
"Preparing to unpack .../18-curl_7.88.1-10+deb12u14_amd64.deb ...
",2026-04-13T06:32:15.226928504Z,info,"{""serviceId"":""319ea0e2-e538-4575-8e20-90d75e4c9bb0"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""stream"":1,""timestamp"":""2026-04-13T06:32:15.226928504Z"",""type"":""log"",""vertex"":""sha256:d4f8bcef45c677fc231a062557c4927df7827b7feb6ca4d03dc3b38c13ebace8""}"
"Unpacking curl (7.88.1-10+deb12u14) ...
",2026-04-13T06:32:15.231269323Z,info,"{""serviceId"":""319ea0e2-e538-4575-8e20-90d75e4c9bb0"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""stream"":1,""timestamp"":""2026-04-13T06:32:15.231269323Z"",""type"":""log"",""vertex"":""sha256:d4f8bcef45c677fc231a062557c4927df7827b7feb6ca4d03dc3b38c13ebace8""}"
"Selecting previously unselected package libassuan0:amd64.
",2026-04-13T06:32:15.288034666Z,info,"{""serviceId"":""319ea0e2-e538-4575-8e20-90d75e4c9bb0"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""stream"":1,""timestamp"":""2026-04-13T06:32:15.288034666Z"",""type"":""log"",""vertex"":""sha256:d4f8bcef45c677fc231a062557c4927df7827b7feb6ca4d03dc3b38c13ebace8""}"
"Preparing to unpack .../19-libassuan0_2.5.5-5_amd64.deb ...
",2026-04-13T06:32:15.289276617Z,info,"{""serviceId"":""319ea0e2-e538-4575-8e20-90d75e4c9bb0"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""stream"":1,""timestamp"":""2026-04-13T06:32:15.289276617Z"",""type"":""log"",""vertex"":""sha256:d4f8bcef45c677fc231a062557c4927df7827b7feb6ca4d03dc3b38c13ebace8""}"
"Unpacking libassuan0:amd64 (2.5.5-5) ...
",2026-04-13T06:32:15.296646409Z,info,"{""serviceId"":""319ea0e2-e538-4575-8e20-90d75e4c9bb0"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""stream"":1,""timestamp"":""2026-04-13T06:32:15.296646409Z"",""type"":""log"",""vertex"":""sha256:d4f8bcef45c677fc231a062557c4927df7827b7feb6ca4d03dc3b38c13ebace8""}"
